Magnitud,Latitud,Longitud,Profundidad,Estatus,Fecha Hora,Fecha Hora UTC,Estado,Referencia Distancia,Referencia Direccion,Referencia Localidad
7.6,18.9,-102.9,33.0,revisado,1941-04-15 13:09:51,1941-04-15 19:09:51,MICH,25,NORESTE,COALCOMAN
7.9,14.8,-91.3,50.0,revisado,1942-08-06 17:36:59,1942-08-06 23:36:59,CHIS,93,ESTE,CD HIDALGO
7.4,17.6,-101.1,33.0,revisado,1943-02-22 03:20:45,1943-02-22 09:20:45,GRO,20,NORESTE,PETATLAN
6.5,17.0,-101.0,33.0,revisado,1944-01-10 14:09:52,1944-01-10 20:09:52,GRO,46,SUROESTE,TECPAN
7.1,15.0,-92.5,33.0,revisado,1944-06-28 01:58:54,1944-06-28 07:58:54,CHIS,16,SUR,HUIXTLA
6.8,27.0,-111.0,33.0,revisado,1945-06-27 07:08:20,1945-06-27 13:08:20,SON,102,SUR,H GUAYMAS
6.7,17.0,-115.0,33.0,revisado,1945-06-29 23:31:18,1945-06-30 05:31:18,BCS,841,SUROESTE,CABO SAN LUCAS
6.9,22.0,-106.5,33.0,revisado,1948-12-03 18:22:48,1948-12-04 00:22:48,NAY,116,SUROESTE,TECUALA
7.0,19.0,-107.0,60.0,revisado,1950-09-29 00:32:20,1950-09-29 06:32:20,JAL,257,SUROESTE,PUERTO VALLARTA
6.6,17.7,-106.0,33.0,revisado,1950-10-21 03:42:58,1950-10-21 09:42:58,JAL,225,SUROESTE,CIHUATLAN
7.2,14.3,-91.8,33.0,revisado,1950-10-23 10:13:20,1950-10-23 16:13:20,CHIS,56,SURESTE,CD HIDALGO
6.6,17.5,-100.5,33.0,revisado,1950-11-17 13:28:23,1950-11-17 19:28:23,GRO,33,NORTE,ATOYAC DE ALVAREZ
7.2,17.2,-98.1,33.0,revisado,1950-12-14 08:15:50,1950-12-14 14:15:50,OAX,47,OESTE,H TLAXIACO
6.8,16.9,-98.7,33.0,revisado,1951-12-28 03:20:26,1951-12-28 09:20:26,GRO,39,NOROESTE,OMETEPEC
6.7,16.4,-98.9,33.0,revisado,1953-12-01 09:18:33,1953-12-01 15:18:33,GRO,57,SUROESTE,OMETEPEC
7.0,28.5,-113.0,33.0,revisado,1954-04-29 05:34:34,1954-04-29 11:34:34,BCS,120,NORESTE,GUERRERO NEGRO
6.6,25.0,-110.0,33.0,revisado,1955-04-05 09:09:15,1955-04-05 15:09:15,BCS,100,NORESTE,LA PAZ
6.6,14.0,-91.0,60.0,revisado,1955-08-28 14:13:30,1955-08-28 20:13:30,CHIS,145,SURESTE,CD HIDALGO
6.7,31.9,-115.8,33.0,revisado,1956-02-09 08:32:39,1956-02-09 14:32:39,BC,75,ESTE,RODOLFO SANCHEZ T(MRO)
6.7,15.5,-98.3,33.0,revisado,1957-04-09 23:12:09,1957-04-10 05:12:09,OAX,93,SUR,PINOTEPA NACIONAL
7.8,17.1,-99.1,33.0,revisado,1957-07-28 02:40:10,1957-07-28 08:40:10,GRO,47,NORESTE,SAN MARCOS
6.6,13.5,-92.7,25.0,revisado,1961-09-01 12:50:34,1961-09-01 18:50:34,CHIS,141,SUROESTE,CD HIDALGO
